INDEX,ra,RA,dec,DEC,Luminosity,Mass_UMS,Mass_Luminosity,Log (M/L),Angular_Seperation
530311,83.0796933211586,83.0797,-69.23855881850768,-69.238556,476.85173924212364,5.824416073509021,0.012214312320147892,-1.9131309792818056,0.9603447174818491
530311,83.08885967449115,83.08886,-69.2456229994104,-69.24562,152.8806812392368,4.20824237808626,0.027526318851895697,-1.5602518637684128,0.9599801378321849
530311,83.060192298371,83.060196,-69.2443123814603,-69.244316,227.77392571266256,4.715986719472886,0.020704682086491833,-1.6839314335577542,0.9613538387997702
530311,83.05740764074594,83.05741,-69.24612960974135,-69.24613,1713.3075801425355,8.393690534352979,0.004899114806726461,-2.3098823830903994,0.9614960671289338
530311,83.08230184242184,83.0823,-69.25118017931284,-69.25118,293.67192900845026,5.0711160949208,0.01726796330872632,-1.7627588828113816,0.9605108607791966
530311,83.07962865319364,83.07963,-69.2518871533554,-69.251884,367.623037528078,5.40719716168725,0.014708537305076437,-1.8324305136707566,0.9606764657341728
530311,83.04612162462797,83.04612,-69.23674925155768,-69.23675,564.6682969800308,6.112609994466637,0.010825134024981052,-1.9655667179815823,0.9616086313054799
530311,83.04856469398673,83.04856,-69.23945725430407,-69.239456,155.19183744958153,4.226321544948536,0.02723288553318132,-1.5649063393892275,0.9616051230654162
530311,83.58993697257407,83.589935,-69.42622149661857,-69.42622,151.20173404783296,4.194985907859531,0.027744297605293594,-1.5568262656238814,0.8398642555610353
530311,83.58684510215514,83.586845,-69.42860379751146,-69.428604,804.0302881000054,6.762041490282561,0.00841018253959296,-2.075194577914618,0.8416882606258396
530311,83.84583204078388,83.84583,-68.68181171791869,-68.68181,220.42143421001768,4.671981264805008,0.02119567582685058,-1.6737527313395624,0.7766204433834839
530311,83.8645011717762,83.8645,-68.6899577410866,-68.68996,165.41446914253055,4.304058262358743,0.02601984146048385,-1.584695353933033,0.7632465477348547
530311,83.86035159177243,83.86035,-68.69242352193422,-68.69242,154.92897177156502,4.224274994782485,0.02726588156159047,-1.5643804561233234,0.7644397149629051
530311,83.85615133719327,83.85615,-68.69331304951152,-68.69331,257.2014882319924,4.882582215630028,0.018983491305563528,-1.7216239122826429,0.7663269028392314
530311,83.85604219664582,83.85604,-68.69275198151807,-68.69275,221.21938993969556,4.676807375920337,0.021141037307784074,-1.674873707378904,0.7666196928105328
530311,83.85545564717964,83.85545,-68.69214029671629,-68.69214,352.85702164722517,5.344232713725144,0.015145603986501171,-1.8197134029006674,0.7671899410109425
530311,83.62208586252659,83.622086,-69.42506541177767,-69.425064,309.9668106484776,5.14996575696718,0.016614571560719688,-1.7795108533749977,0.8245255894498753
530311,83.6245686527002,83.624565,-69.42606462091922,-69.42606,182.7422757210769,4.428327404327395,0.024232637942445442,-1.615599306395366,0.8235057734961027
530311,83.6236327561758,83.623634,-69.4284580785103,-69.42846,1519.529108904186,8.11072583258202,0.005337657426274052,-2.272649302907643,0.824392360542578
530311,83.61626214526018,83.616264,-69.42875701325109,-69.42876,450.80702052622013,5.73169469011631,0.012714297757443508,-1.8957076219994398,0.8279842135408719
530311,83.6150441868963,83.61504,-69.42691001164387,-69.42691,189.55217363751098,4.474862016409741,0.02360754788793516,-1.626949120674105,0.8282339634522253
530311,83.62311345616321,83.623116,-69.4278286684693,-69.427826,191.35956182821405,4.4870115848129215,0.02344806573523078,-1.6298929770496628,0.8245285183045097
530311,83.62513393830714,83.62514,-69.42733414043208,-69.42734,173.7449334581155,4.364906043196415,0.025122493970442354,-1.599937249336214,0.8234623196702483
530311,83.62528069981394,83.62528,-69.42778620692827,-69.42779,243.10196055243722,4.804562487067014,0.019763569475741302,-1.7041346152332564,0.8234735374591983
530311,83.61147710019259,83.61148,-69.42985356937795,-69.429855,150.04646846999177,4.18580308542985,0.027896711786102323,-1.554446984443636,0.8304564791595167
530311,83.61997103919956,83.61997,-69.43226766396646,-69.43227,201.2291235301109,4.551948937279525,0.022620726351264928,-1.6454934539958121,0.8268492036604279
530311,83.74116504083976,83.741165,-69.02046479367623,-69.02046,192.21263418858146,4.492717622103289,0.02337368529945563,-1.6312728075463143,0.7429803585854867
530311,83.7359148326612,83.735916,-69.02382222160767,-69.02382,1314.153132956572,7.7811127265497495,0.005921009151379383,-2.227604267681638,0.745727637088232
530311,83.72506488715383,83.72507,-69.03048736882081,-69.03049,206.1863144927613,4.5837096080474655,0.022230911005533243,-1.6530427398844842,0.7514218609194123
530311,83.73820810482715,83.738205,-69.02786812332315,-69.02787,284.87355764846967,5.027234950182163,0.017647250210515174,-1.753322956646482,0.7438372245729276
530311,83.65696577377682,83.65697,-69.47976265672438,-69.47976,648.7130759721426,6.359802291530884,0.009803721440330563,-2.0086090371431338,0.8186334718122771
530311,83.65585418445166,83.65585,-69.47937644706417,-69.47938,354.8543133174272,5.352858208989042,0.015084664348438564,-1.8214643489455893,0.8190897694746211
530311,83.90253928017168,83.90254,-68.84635268256967,-68.84635,175.85081597054133,4.37995678050181,0.02490723034936354,-1.603674562743022,0.6805198181183616
530311,83.90465403314525,83.904655,-68.84787041073677,-68.84787,159.78778931810368,4.261709889771888,0.02667106108644964,-1.57395970591406,0.6786436685698207
530311,83.72637256437773,83.72637,-69.03253744553601,-69.03254,909.3079271635535,7.003997678846859,0.007702558692845398,-2.113364983711214,0.7503993805449658
530311,83.72981589887007,83.72981,-69.0335768592561,-69.03358,895.5994944272824,6.973665258684021,0.0077865890971092365,-2.108652742674663,0.7482147760928759
530311,83.91426129084664,83.91426,-68.85129795208394,-68.851295,680.5767121012564,6.447531204236408,0.009473628893838999,-2.0234836316953104,0.6712517699102901
530311,83.89867488514199,83.898674,-68.85003304137075,-68.85004,2146.6049680681667,8.952187712364715,0.004170393642767546,-2.379822950107001,0.6817712988577763
530311,83.88755598595138,83.88756,-68.85268662091921,-68.852684,731.5560879189096,6.581978591441525,0.008997230287790476,-2.0458911634335912,0.6880351557142103
530311,83.91183304567423,83.911835,-68.85925322040944,-68.85925,374.02784914104024,5.43394716480992,0.014528188682444501,-1.8377885284587032,0.6701606173055027
530311,83.68457082132329,83.68457,-69.4835099864948,-69.48351,153.11101953762292,4.210052937139849,0.027496733741658234,-1.5607188917050758,0.8057746719455057
530311,83.89672989642897,83.89673,-68.8622068631662,-68.862206,291.8138736942084,5.061928210855967,0.017346427525102386,-1.760789954065567,0.6790420652032879
530311,83.92045916443712,83.920456,-68.85488764643092,-68.85489,256.62514248717076,4.879453695125497,0.019013934674656563,-1.7209280025100424,0.6659769793392878
